"","column_label","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","source"
"R-HSA-3000178","MEblue","R-HSA-3000178","ECM proteoglycans","20/409","71/9232",1.50018125677477e-11,3.9717298773112e-09,3.6399134703851e-09,"1284/3339/1282/1277/3913/3915/54829/6678/3679/50509/1290/3910/3912/1605/633/3688/1281/1278/1289/1293",20,"Reactome"
"R-HSA-8874081","MEblue","R-HSA-8874081","MET activates PTK2 signaling","13/409","30/9232",1.26366376557983e-10,2.67643985549808e-08,2.45283787760969e-08,"10319/1277/3913/3915/5747/50509/1290/3910/3912/3688/1281/1278/1289",13,"Reactome"
"R-HSA-8948216","MEblue","R-HSA-8948216","Collagen chain trimerization","14/409","41/9232",1.06066765281088e-09,1.87207840721121e-07,1.71567644893269e-07,"80781/1284/1282/1277/1306/1303/81578/50509/1290/7373/1281/1278/1289/1293",14,"Reactome"
"R-HSA-1474228","MEblue","R-HSA-1474228","Degradation of the extracellular matrix","23/409","128/9232",7.48200469847289e-09,1.13192042509754e-06,1.03735463638978e-06,"80781/4811/1284/3339/9510/1282/1277/1306/1303/3915/50509/1290/7373/3912/2200/1281/1278/1289/8751/5654/823/960/1293",23,"Reactome"
"R-HSA-8875878","MEblue","R-HSA-8875878","MET promotes cell motility","13/409","41/9232",1.18965374552641e-08,1.57480414564058e-06,1.44323783338861e-06,"10319/1277/3913/3915/5747/50509/1290/3910/3912/3688/1281/1278/1289",13,"Reactome"
"R-HSA-216083...629","MEblue","R-HSA-216083","Integrin cell surface interactions","18/409","83/9232",1.56359186708032e-08,1.83982643026451e-06,1.68611894906206e-06,"80781/1284/3339/1282/1277/83700/3679/50509/1290/2200/3688/3672/1281/1278/3384/1289/960/1293",18,"Reactome"
"R-HSA-445355","MEblue","R-HSA-445355","Smooth Muscle Contraction","12/409","40/9232",8.80112498631704e-08,9.32039136050974e-06,8.54172340777296e-06,"59/7169/8654/2977/800/8912/3672/103910/808/7171/10174/217",12,"Reactome"
"R-HSA-2022090","MEblue","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","14/409","57/9232",1.20816757220859e-07,1.1631358717899e-05,1.06596220246538e-05,"80781/1284/7837/1282/1277/1306/1303/50509/1290/7373/1281/1278/1289/1293",14,"Reactome"
"R-HSA-1650814...632","MEblue","R-HSA-1650814","Collagen biosynthesis and modifying enzymes","14/409","64/9232",5.65479275970889e-07,4.99035461044309e-05,4.57343765302772e-05,"80781/1284/1282/1277/1306/1303/81578/50509/1290/7373/1281/1278/1289/1293",14,"Reactome"
"R-HSA-186797","MEblue","R-HSA-186797","Signaling by PDGF","13/409","57/9232",8.64578035837469e-07,7.04298569193754e-05,6.45458258333722e-05,"1284/1282/5159/50509/80310/1290/5327/1281/1289/6778/7060/1293/5335",13,"Reactome"
"R-HSA-9006934...634","MEblue","R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","46/409","494/9232",1.13297570094872e-06,8.57015190931927e-05,7.85416237800543e-05,"2887/1284/10319/2324/1282/1277/3913/3915/6678/8503/5159/4254/1003/5747/50509/10252/1793/5796/80310/1290/3910/5327/3912/2354/3688/1281/1278/1499/4664/8829/1289/6778/808/26018/3726/7060/8992/1293/374/55845/8828/5228/3708/2353/5335/3710",46,"Reactome"
"R-HSA-1442490","MEblue","R-HSA-1442490","Collagen degradation","13/409","59/9232",1.31820221802897e-06,8.72485093057927e-05,7.99593713830733e-05,"80781/1284/1282/1277/1306/1303/50509/1290/7373/1281/1278/1289/1293",13,"Reactome"
"R-HSA-375165","MEblue","R-HSA-375165","NCAM signaling for neurite out-growth","13/409","59/9232",1.31820221802897e-06,8.72485093057927e-05,7.99593713830733e-05,"1284/1282/775/5747/50509/1290/8912/6711/1281/1289/1293/6709/5786",13,"Reactome"
"R-HSA-1474290...637","MEblue","R-HSA-1474290","Collagen formation","15/409","85/9232",4.01411893004245e-06,0.00025005599687735,0.000229165179783228,"80781/1284/7837/1282/1277/1306/1303/81578/50509/1290/7373/1281/1278/1289/1293",15,"Reactome"
"R-HSA-6806834","MEblue","R-HSA-6806834","Signaling by MET","14/409","79/9232",8.00307508313382e-06,0.000470847584057706,0.0004315108319678,"10319/1277/3913/3915/5747/50509/1290/3910/3912/3688/1281/1278/1289/26018",14,"Reactome"
"R-HSA-2173782...639","MEblue","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","10/409","41/9232",8.50784968267593e-06,0.000474200674418621,0.000434583789885164,"1284/1282/1277/6678/1281/1278/3512/8578/3240/2495",10,"Reactome"
"R-HSA-8957275...640","MEblue","R-HSA-8957275","Post-translational protein phosphorylation","15/409","92/9232",1.10047132349905e-05,0.000582699565792747,0.000534018189613749,"3490/3913/3915/4240/64856/8404/3912/2200/4052/8614/3895/2621/813/2519/6383",15,"Reactome"
"R-HSA-397014","MEblue","R-HSA-397014","Muscle contraction","22/409","178/9232",1.18168159982555e-05,0.000595905149626316,0.000546120518816622,"59/775/7169/23704/8654/6330/2977/800/8912/4881/8645/3672/103910/53826/845/808/7171/10174/217/3708/493/3710",22,"Reactome"
"R-HSA-3000170","MEblue","R-HSA-3000170","Syndecan interactions","8/409","27/9232",1.46308015928701e-05,0.000704273585765883,0.000645435362135226,"1277/50509/1290/3688/1281/1278/1289/6383",8,"Reactome"
"R-HSA-9012999...643","MEblue","R-HSA-9012999","RHO GTPase cycle","39/409","434/9232",1.79850133398689e-05,0.000828092570735702,0.00075890994505076,"11135/8997/57572/55075/57480/7126/4162/182/9411/27145/8503/4646/8654/1793/57449/9828/5924/22899/23348/64411/6711/152273/9462/23365/3688/2040/9644/3895/54438/79834/9578/7171/5585/6709/120/4296/55845/64857/91544",39,"Reactome"
"R-HSA-416476","MEblue","R-HSA-416476","G alpha (q) signalling events","21/409","174/9232",2.68455457205983e-05,0.0011845597049214,0.00108559619098209,"8997/6004/8503/1910/1909/2767/8490/5998/1906/5996/2869/10125/160851/2791/10161/2149/2776/2782/3708/3710/5997",21,"Reactome"
"R-HSA-419037","MEblue","R-HSA-419037","NCAM1 interactions","9/409","38/9232",3.12053791391748e-05,0.00132185986033544,0.00121142566595028,"1284/1282/775/50509/1290/8912/1281/1289/1293",9,"Reactome"
"R-HSA-388396...646","MEblue","R-HSA-388396","GPCR downstream signalling","41/409","488/9232",5.25561531668094e-05,0.00214065254629427,0.00196181268096349,"8997/1903/5139/6004/8503/6376/2770/1910/57449/9828/10203/5924/1909/2767/5138/22899/8490/5151/10266/187/196883/23365/3688/5998/1906/5996/2869/10125/160851/2778/2791/808/10161/2149/2776/9560/2782/3708/3710/5997/64857",41,"Reactome"
"R-HSA-381426...647","MEblue","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","15/409","107/9232",6.8944361090518e-05,0.00270415105166143,0.00247823395420887,"3490/3913/3915/4240/64856/8404/3912/2200/4052/8614/3895/2621/813/2519/6383",15,"Reactome"
"R-HSA-3000480","MEblue","R-HSA-3000480","Scavenging by Class A Receptors","6/409","18/9232",8.58804086396491e-05,0.00324811974104958,0.00297675702126904,"1284/1282/1277/1281/1278/2495",6,"Reactome"
"R-HSA-418346","MEblue","R-HSA-418346","Platelet homeostasis","12/409","80/9232",0.000190116651323358,0.00694253564660125,0.00636252459238244,"8654/2977/5138/2778/2791/808/5525/5025/2782/3708/493/3710",12,"Reactome"
"R-HSA-76002...650","MEblue","R-HSA-76002","Platelet activation, signaling and aggregation","24/409","245/9232",0.000214324462013432,0.00756565350907415,0.00693358435004857,"1277/7078/11069/6678/8503/2770/5747/7123/2767/1278/10125/160851/2791/81/2621/808/813/928/2149/2776/51097/2782/3708/3710",24,"Reactome"
"R-HSA-9013149...651","MEblue","R-HSA-9013149","RAC1 GTPase cycle","19/409","179/9232",0.000354560460733413,0.0121122428360221,0.0111003308929102,"11135/8997/57572/57480/4162/182/9411/8503/1793/5924/22899/23348/64411/152273/3688/3895/5585/55845/64857",19,"Reactome"
"R-HSA-2243919","MEblue","R-HSA-2243919","Crosslinking of collagen fibrils","5/409","17/9232",0.000662059325640915,0.021910025807929,0.0200795624421356,"1284/7837/1282/1277/1278",5,"Reactome"
"R-HSA-422356","MEblue","R-HSA-422356","Regulation of insulin secretion","10/409","69/9232",0.000851668305849216,0.0266264744786837,0.0244019775054385,"775/11069/2770/2767/2778/2791/2776/2782/3708/3710",10,"Reactome"
"R-HSA-194138...654","MEblue","R-HSA-194138","Signaling by VEGF","13/409","107/9232",0.000854863203281631,0.0266264744786837,0.0244019775054385,"2324/1003/5747/1793/1499/8829/808/55845/8828/5228/3708/5335/3710",13,"Reactome"
"R-HSA-163685","MEblue","R-HSA-163685","Integration of energy metabolism","12/409","98/9232",0.00124998562905787,0.0378209937477795,0.0346612556388378,"775/11069/2770/2767/196883/2778/2791/6888/2776/2782/3708/3710",12,"Reactome"
"hsa05200...656","MEblue","hsa05200","Pathways in cancer","49/301","479/6653",3.37240201741475e-08,9.98230997154766e-06,7.9872679359823e-06,"1284/4855/10319/2324/1282/26508/3913/3915/4854/182/8503/5159/2770/4254/2034/5747/3714/3910/1910/57449/1909/2767/3912/28514/196883/4040/7704/23365/3688/8322/1499/1906/4193/10125/2778/2791/3559/5914/6778/808/10161/2149/894/355/2776/2782/5228/2353/5335",49,"KEGG"
"hsa04512","MEblue","hsa04512","ECM-receptor interaction","17/301","83/6653",1.20203096957782e-07,1.77900583497517e-05,1.42345772713163e-05,"1284/3339/10319/1282/1277/3913/3915/3679/3910/3912/1605/3688/3672/1278/7060/960/1293",17,"KEGG"
"hsa04151...658","MEblue","hsa04151","PI3K-Akt signaling pathway","35/301","309/6653",3.466552038846e-07,3.37390642021969e-05,2.69960506596525e-05,"1284/10319/2324/1282/1277/3913/9223/3915/8503/5159/4254/5747/3679/80310/3910/3912/3164/7010/3688/3672/1278/4193/2791/3559/10161/2149/7060/894/5525/1293/5585/9470/374/2782/5228",35,"KEGG"
"hsa04510...659","MEblue","hsa04510","Focal adhesion","26/301","193/6653",4.55933300029687e-07,3.37390642021969e-05,2.69960506596525e-05,"1284/10319/2324/1282/1277/3913/3915/8503/5159/5747/3679/1793/80310/3910/3912/3688/3672/103910/1278/1499/2317/81/7060/894/1293/5228",26,"KEGG"
"hsa05146...660","MEblue","hsa05146","Amoebiasis","17/301","94/6653",7.89240401954224e-07,4.67230317956901e-05,3.73850716715159e-05,"1284/10319/1282/1277/3913/3915/8503/5747/3910/2767/3912/1281/1278/7124/2778/81/2776",17,"KEGG"
"hsa04974","MEblue","hsa04974","Protein digestion and absorption","16/301","85/6653",9.5714872394508e-07,4.72193370479573e-05,3.77821864715163e-05,"80781/1284/1282/1277/1306/1303/81578/50509/1290/7373/8645/1281/1278/1289/1293/1359",16,"KEGG"
"hsa04924","MEblue","hsa04924","Renin secretion","13/301","58/6653",1.28960959239979e-06,5.45320627643342e-05,4.36334072616472e-05,"775/5139/2770/2977/1909/4881/358/1906/2778/808/2776/3708/3710",13,"KEGG"
"hsa05165...663","MEblue","hsa05165","Human papillomavirus infection","33/301","302/6653",1.74483095259662e-06,6.45587452460751e-05,5.16561795176632e-05,"1284/4855/10319/1282/1277/26508/3913/9223/3915/4854/182/8503/5159/5747/3679/3910/3912/3688/3672/8322/1278/1499/4193/7124/2778/3134/7060/894/8992/5525/1293/1739/355",33,"KEGG"
"hsa04713","MEblue","hsa04713","Circadian entrainment","15/301","82/6653",3.0669483454666e-06,0.000100868523362012,8.0709166985963e-05,"775/8864/2770/2977/8912/196883/2778/2791/808/5187/2776/2782/3708/2353/3710",15,"KEGG"
"hsa04270...665","MEblue","hsa04270","Vascular smooth muscle contraction","18/301","117/6653",4.2964833783763e-06,0.000127175907999939,0.000101758816856281,"59/775/4628/2977/10203/1909/800/2767/10266/4881/196883/23365/1906/2778/808/2776/3708/3710",18,"KEGG"
"hsa04925...666","MEblue","hsa04925","Aldosterone synthesis and secretion","15/301","88/6653",7.63138718386288e-06,0.000205353691493038,0.000164312164245852,"775/2767/5138/8912/4881/3164/196883/4929/2778/808/2776/25865/3708/493/3710",15,"KEGG"
"hsa04611...667","MEblue","hsa04611","Platelet activation","16/301","118/6653",7.29470986776635e-05,0.00179936176738237,0.0014397453686381,"1277/8503/2770/2977/196883/23365/3688/103910/1281/1278/10125/2778/2149/2776/3708/3710",16,"KEGG"
"hsa05205","MEblue","hsa05205","Proteoglycans in cancer","21/301","190/6653",0.000122867501034252,0.00279759848508758,0.00223847673949042,"3339/1277/7078/8503/5747/23365/3688/8322/1278/1499/2317/4193/7124/5962/960/355/5328/6383/3708/5335/3710",21,"KEGG"
"hsa04927...669","MEblue","hsa04927","Cortisol synthesis and secretion","10/301","57/6653",0.000201085660084936,0.00425152538465293,0.00340182507662485,"775/2767/5151/8912/3164/196883/2778/2776/3708/3710",10,"KEGG"
"hsa05163...670","MEblue","hsa05163","Human cytomegalovirus infection","21/301","200/6653",0.000253440141421099,0.00470676456741409,0.00376608117947429,"8503/6376/2770/5747/2767/196883/23365/1499/4193/7124/2778/2791/3134/808/6890/355/2776/9560/2782/3708/3710",21,"KEGG"
"hsa04926","MEblue","hsa04926","Relaxin signaling pathway","15/301","118/6653",0.000254419706346708,0.00470676456741409,0.00376608117947429,"1284/59/1282/1277/8503/2770/1910/196883/1281/1278/1906/2778/2791/2782/2353",15,"KEGG"
"hsa04360","MEblue","hsa04360","Axon guidance","19/301","173/6653",0.00028048348467493,0.00481770195978121,0.00385484687393589,"6091/6586/5362/8503/2770/5747/6405/54910/2043/2050/219699/23365/3688/5998/103910/659/8829/57556/5335",19,"KEGG"
"hsa04022...673","MEblue","hsa04022","cGMP-PKG signaling pathway","17/301","146/6653",0.000292968362419128,0.00481770195978121,0.00385484687393589,"775/5139/2770/8654/1910/2977/1909/2767/5138/4881/196883/808/2776/3708/493/3710/5997",17,"KEGG"
"hsa04015...674","MEblue","hsa04015","Rap1 signaling pathway","20/301","193/6653",0.000422360716367183,0.00657993537077296,0.00526488427604522,"2324/9223/11069/8503/5159/2770/4254/80310/64411/7010/196883/3688/1499/2778/808/2149/2776/25865/5228/5335",20,"KEGG"
"hsa04670...675","MEblue","hsa04670","Leukocyte transendothelial migration","13/301","103/6653",0.000698650805147322,0.0103400319161804,0.0082734963767446,"90952/83700/11069/8503/2770/1003/5747/7070/3688/103910/1499/81/5335",13,"KEGG"
"hsa04540","MEblue","hsa04540","Gap junction","11/301","82/6653",0.00107157063886591,0.0147645589422943,0.0118137473755911,"5159/2770/80310/2977/2767/196883/2778/203068/2776/3708/3710",11,"KEGG"
"hsa04935","MEblue","hsa04935","Growth hormone synthesis, secretion and action","13/301","108/6653",0.00109736586733268,0.0147645589422943,0.0118137473755911,"775/8503/2770/5747/2767/196883/2778/3726/2776/3708/2353/5335/3710",13,"KEGG"
"hsa05414","MEblue","hsa05414","Dilated cardiomyopathy","11/301","85/6653",0.00144738171744646,0.0186271734071371,0.0149043883947576,"4000/775/7169/3679/196883/1605/3688/3672/7124/2778/7171",11,"KEGG"
"hsa04371...679","MEblue","hsa04371","Apelin signaling pathway","14/301","127/6653",0.00169701387368079,0.0209298377753964,0.0167468474376394,"59/4854/182/2770/5327/187/196883/2791/808/10365/2776/2782/3708/3710",14,"KEGG"
"hsa04020","MEblue","hsa04020","Calcium signaling pathway","19/301","204/6653",0.0021100308573796,0.0249827653513745,0.0199897660172805,"2324/775/5159/80310/1910/1909/2767/8912/196883/2778/845/808/2149/5025/2776/3708/493/5335/3710",19,"KEGG"
"hsa01522","MEblue","hsa01522","Endocrine resistance","11/301","93/6653",0.00300105382044962,0.0335281129023878,0.026827259612508,"4855/4854/182/8503/5747/3714/28514/196883/4193/2778/2353",11,"KEGG"
"hsa05410","MEblue","hsa05410","Hypertrophic cardiomyopathy","10/301","80/6653",0.00305830759582591,0.0335281129023878,0.026827259612508,"4000/775/7169/3679/1605/3688/3672/1906/7124/7171",10,"KEGG"
"hsa04929","MEblue","hsa04929","GnRH secretion","8/301","56/6653",0.00341306897749532,0.0360810149049505,0.028869944358513,"775/8503/2767/8912/3782/2776/3708/3710",8,"KEGG"
"hsa05170...684","MEblue","hsa05170","Human immunodeficiency virus 1 infection","17/301","185/6653",0.00409748274979629,0.0405070854639115,0.0324114304032009,"8503/2770/5747/2767/7124/2791/3134/808/684/6890/355/2776/2782/3708/2353/5335/3710",17,"KEGG"
"hsa04658...685","MEblue","hsa04658","Th1 and Th2 cell differentiation","10/301","84/6653",0.00437469874021809,0.0405070854639115,0.0324114304032009,"4854/182/3714/28514/3559/6778/3119/2353/5335/3127",10,"KEGG"
"hsa05032","MEblue","hsa05032","Morphine addiction","9/301","71/6653",0.00443360633957295,0.0405070854639115,0.0324114304032009,"5139/2770/5138/5151/196883/2869/2778/2791/2782",9,"KEGG"
"hsa04072...687","MEblue","hsa04072","Phospholipase D signaling pathway","14/301","141/6653",0.00448761232783598,0.0405070854639115,0.0324114304032009,"8611/11069/8613/8503/5159/4254/80310/196883/9265/160851/2778/10161/2149/5335",14,"KEGG"
"hsa04725","MEblue","hsa04725","Cholinergic synapse","11/301","98/6653",0.00451599263617932,0.0405070854639115,0.0324114304032009,"775/8503/2770/2767/196883/2791/2776/2782/3708/2353/3710",11,"KEGG"
"hsa04970","MEblue","hsa04970","Salivary secretion","9/301","72/6653",0.00487127721546806,0.0412837775990776,0.0330328945938565,"2977/196883/6558/2778/808/2776/3708/493/3710",9,"KEGG"
"hsa04724","MEblue","hsa04724","Glutamatergic synapse","11/301","99/6653",0.00488152775664768,0.0412837775990776,0.0330328945938565,"775/85358/2770/196883/2778/2791/2776/2782/3708/81539/3710",11,"KEGG"
"hsa05206...691","MEblue","hsa05206","MicroRNAs in cancer","15/301","160/6653",0.00568822447039112,0.0467698456454381,0.0374225294104679,"4855/7078/4854/8503/5159/6935/659/4193/6624/5962/6768/960/894/5328/5335",15,"KEGG"
"GO:0005201","MEblue","GO:0005201","extracellular matrix structural constituent","35/601","172/18410",2.30096846065758e-18,1.7464350616391e-15,1.5331716164171e-15,"80781/4811/1284/3339/7837/1282/1277/1306/3490/3913/1303/3915/4240/54829/81578/6678/64856/22795/50509/83872/1290/3910/4256/7373/79812/3912/64129/2200/633/1281/1278/4052/1289/2202/1293",35,"GO"
"GO:0030020","MEblue","GO:0030020","extracellular matrix structural constituent conferring tensile strength","14/601","41/18410",2.1004631498219e-11,7.9712576535741e-09,6.9978588096698e-09,"80781/1284/1282/1277/1306/1303/81578/50509/1290/7373/1281/1278/1289/1293",14,"GO"
"GO:0005178...694","MEblue","GO:0005178","integrin binding","23/601","156/18410",1.45000749988414e-09,3.66851897470689e-07,3.22054297342689e-07,"1903/3913/83700/4240/8613/6376/2013/5747/3679/7070/3912/2200/1842/3688/3672/1281/3384/1289/8751/81/928/7060/3146",23,"GO"
"GO:0005518...695","MEblue","GO:0005518","collagen binding","15/601","68/18410",3.83569799968841e-09,7.27823695440876e-07,6.38946535211254e-07,"4811/54829/6678/22795/4921/50509/8404/7373/1842/3688/3672/84168/9902/4092/960",15,"GO"
"GO:0003779...696","MEblue","GO:0003779","actin binding","39/601","439/18410",1.61872865227375e-08,2.45723009415156e-06,2.15716891976692e-06,"65108/7169/4430/4651/85358/4646/23500/57477/5747/4628/4131/800/6876/5358/60312/55930/6711/1605/3688/84168/4642/133746/2317/6624/11078/2934/5962/3092/23164/81/8507/7171/7145/64423/6641/6709/120/85477/120892",39,"GO"
"GO:0045296...697","MEblue","GO:0045296","cadherin binding","32/601","333/18410",5.28828995241169e-08,6.68968678980079e-06,5.87278515767825e-06,"11135/1012/4854/4430/1003/5787/9351/800/153090/23348/8642/6711/3688/659/1499/2317/6624/11252/3895/10938/5962/23164/471/30844/51510/1968/6138/1739/6709/5025/79026/11336",32,"GO"
"GO:0051015...698","MEblue","GO:0051015","actin filament binding","24/601","214/18410",1.47526079769995e-07,1.5996042077918e-05,1.40427080442717e-05,"65108/7169/4430/4651/4646/57477/4628/6876/5358/55930/6711/84168/4642/2317/6624/11078/2934/3092/23164/81/7171/6709/120/85477",24,"GO"
"GO:0048407","MEblue","GO:0048407","platelet-derived growth factor binding","6/601","11/18410",4.74341951906902e-07,4.50031926871673e-05,3.95076915206669e-05,"1282/1277/5159/1281/1278/1289",6,"GO"
"GO:0046332","MEblue","GO:0046332","SMAD binding","13/601","78/18410",1.32119187340861e-06,0.000100824634030627,8.85125765777505e-05,"1290/94/57154/5814/1281/1278/1499/28984/2280/4092/10140/2353/8287",13,"GO"
"GO:0050840","MEblue","GO:0050840","extracellular matrix binding","11/601","55/18410",1.32838780014002e-06,0.000100824634030627,8.85125765777505e-05,"4811/169611/6678/3679/8404/64094/64129/161198/1605/633/3688",11,"GO"
"GO:0019199","MEblue","GO:0019199","transmembrane receptor protein kinase activity","13/601","79/18410",1.5348799932032e-06,0.000105906719531021,9.29740704016867e-05,"2324/7075/5159/4921/94/7010/2043/2050/659/4052/8829/2202/8828",13,"GO"
"GO:0005516","MEblue","GO:0005516","calmodulin binding","21/601","200/18410",2.57833046755241e-06,0.00016307940207269,0.000143165191750937,"65108/775/4430/6004/4651/4646/4628/5924/800/55930/6711/4133/4642/3782/5996/6641/6709/120/355/493/5997",21,"GO"
"GO:0019838...704","MEblue","GO:0019838","growth factor binding","16/601","139/18410",1.25393081031963e-05,0.000732102680794307,0.00064270299832577,"2324/7837/1282/1277/3490/5159/94/8692/1281/1278/4052/8829/1289/3559/5654/8828",16,"GO"
"GO:0004714","MEblue","GO:0004714","transmembrane receptor protein tyrosine kinase activity","10/601","60/18410",2.20764300231065e-05,0.00119685788482413,0.00105070527854334,"2324/7075/5159/4921/7010/2043/2050/8829/2202/8828",10,"GO"
"GO:0005543...706","MEblue","GO:0005543","phospholipid binding","33/601","467/18410",2.91279842437422e-05,0.00131602026925323,0.00115531631708938,"4240/4430/182/4651/56270/4131/153090/7070/57154/64411/6711/9265/22822/5205/55876/3512/9644/2869/5287/11252/2934/10125/23174/3092/5360/2621/9600/3507/29887/3146/3708/85477/3710",33,"GO"
"GO:0030695...707","MEblue","GO:0030695","GTPase regulator activity","34/601","488/18410",2.9476079811996e-05,0.00131602026925323,0.00115531631708938,"8997/57572/57480/8853/9411/6004/11069/1793/57449/9828/5924/153090/7070/22899/8490/23348/64411/152273/729540/9265/9462/23365/5998/23677/5996/8829/10125/55785/5863/125058/2776/120892/5997/64857",34,"GO"
"GO:0060589...708","MEblue","GO:0060589","nucleoside-triphosphatase regulator activity","34/601","488/18410",2.9476079811996e-05,0.00131602026925323,0.00115531631708938,"8997/57572/57480/8853/9411/6004/11069/1793/57449/9828/5924/153090/7070/22899/8490/23348/64411/152273/729540/9265/9462/23365/5998/23677/5996/8829/10125/55785/5863/125058/2776/120892/5997/64857",34,"GO"
"GO:0005539","MEblue","GO:0005539","glycosaminoglycan binding","19/601","234/18410",0.000256877625347708,0.0108316732021617,0.0095089787628713,"9510/6586/50509/7123/8692/64094/83716/2200/1842/633/3512/8829/1289/3507/7060/960/8828/5228/4043",19,"GO"
"GO:0051020...710","MEblue","GO:0051020","GTPase binding","22/601","298/18410",0.000334617452936928,0.0133670866725857,0.011734783806597,"7126/11069/23500/1793/6711/152273/220441/23677/11078/10938/55785/9578/80223/5876/64423/92558/5585/60412/4296/55845/2782/120892",22,"GO"
"GO:0000146","MEblue","GO:0000146","microfilament motor activity","6/601","31/18410",0.000432965978914214,0.0164310588997944,0.0144246034027736,"4430/4651/4646/4628/55930/4642",6,"GO"
"GO:0031267...712","MEblue","GO:0031267","small GTPase binding","20/601","267/18410",0.000510758742160877,0.018460280252386,0.0162060292625481,"7126/11069/23500/1793/152273/220441/23677/11078/10938/55785/9578/80223/5876/64423/92558/5585/60412/4296/55845/120892",20,"GO"
"GO:0019955","MEblue","GO:0019955","cytokine binding","13/601","141/18410",0.000728501666174014,0.0251333074830035,0.0220641892195287,"7837/94/8692/3688/8322/659/4052/8829/3559/8764/3146/3604/8828",13,"GO"
"GO:0003774","MEblue","GO:0003774","cytoskeletal motor activity","11/601","111/18410",0.00101241447628547,0.0334096777174205,0.0293299022191626,"4430/4651/4646/4628/55930/4642/1781/10749/3801/57519/55605",11,"GO"
"GO:0005085...715","MEblue","GO:0005085","guanyl-nucleotide exchange factor activity","17/601","223/18410",0.00108001534480267,0.0336182128886455,0.0295129724131649,"8997/57572/57480/11069/1793/57449/9828/5924/22899/23348/152273/9265/23365/10125/55785/5863/64857",17,"GO"
"GO:0005112","MEblue","GO:0005112","Notch binding","5/601","25/18410",0.00112614089413383,0.0336182128886455,0.0295129724131649,"4855/182/3714/25992/28514",5,"GO"
"GO:0048185","MEblue","GO:0048185","activin binding","4/601","15/18410",0.00115161203571118,0.0336182128886455,0.0295129724131649,"94/57154/2280/4092",4,"GO"
"GO:0008201","MEblue","GO:0008201","heparin binding","14/601","168/18410",0.00125204985594359,0.0351965126170809,0.0308985403045728,"9510/6586/50509/7123/64094/83716/2200/1842/8829/1289/7060/8828/5228/4043",14,"GO"
"GO:0004713...719","MEblue","GO:0004713","protein tyrosine kinase activity","12/601","135/18410",0.00157906346664836,0.0419959947581573,0.0368677133096368,"2324/7075/5159/5747/4921/7010/2043/2050/8829/2202/79834/8828",12,"GO"
"GO:0043236","MEblue","GO:0043236","laminin binding","5/601","27/18410",0.00162150199980287,0.0419959947581573,0.0368677133096368,"4811/3679/64129/1605/3688",5,"GO"
"GO:0035091...721","MEblue","GO:0035091","phosphatidylinositol binding","19/601","273/18410",0.00165992074142914,0.0419959947581573,0.0368677133096368,"4430/4651/56270/153090/7070/64411/9265/22822/55876/9644/5287/2934/23174/3092/9600/29887/3708/85477/3710",19,"GO"
"GO:0005096...722","MEblue","GO:0005096","GTPase activator activity","19/601","274/18410",0.00173089134736113,0.0423789204079708,0.0372038785358096,"8853/9411/6004/1793/153090/7070/22899/8490/64411/729540/9462/23365/5998/5996/8829/125058/2776/120892/5997",19,"GO"
"GO:0005001","MEblue","GO:0005001","transmembrane receptor protein tyrosine phosphatase activity","4/601","17/18410",0.00190637051390937,0.0438465218199155,0.0384922658789356,"5796/5793/5787/5786",4,"GO"
"GO:0019198","MEblue","GO:0019198","transmembrane receptor protein phosphatase activity","4/601","17/18410",0.00190637051390937,0.0438465218199155,0.0384922658789356,"5796/5793/5787/5786",4,"GO"
"GO:0051082...725","MEcyan","GO:0051082","unfolded protein binding","8/79","121/18410",4.87174746123211e-08,1.08639968385476e-05,9.53836871357024e-06,"871/3336/10576/3310/10575/10294/10726/10728",8,"GO"
"GO:0045296...726","MEcyan","GO:0045296","cadherin binding","10/79","333/18410",1.56223378440707e-06,0.000174189066961388,0.000152934465210377,"9124/90102/8727/26136/57488/10726/9052/50848/83939/23607",10,"GO"
"GO:0031072...727","MEcyan","GO:0031072","heat shock protein binding","5/79","123/18410",0.000186290777583483,0.0138476144670389,0.0121579244317641,"2288/3310/4189/10294/10728",5,"GO"
"GO:0044183...728","MEcyan","GO:0044183","protein folding chaperone","3/79","43/18410",0.00082940968842069,0.0423207493767098,0.0371567589524099,"10576/3310/10575",3,"GO"
"GO:0051087...729","MEcyan","GO:0051087","chaperone binding","4/79","106/18410",0.00111986188020018,0.0423207493767098,0.0371567589524099,"3336/4189/10294/10728",4,"GO"
"GO:0031543...730","MEcyan","GO:0031543","peptidyl-proline dioxygenase activity","2/79","12/18410",0.00116699964012002,0.0423207493767098,0.0371567589524099,"54583/55214",2,"GO"
"GO:0019208...731","MEcyan","GO:0019208","phosphatase regulator activity","4/79","111/18410",0.00132845401630928,0.0423207493767098,0.0371567589524099,"79660/650/2029/23141",4,"GO"
