"","column_label","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","source"
"GO:0042393...1347","MEbrown","GO:0042393","histone binding","41/1301","244/18368",1.93871686425149e-07,1.95325724073338e-05,1.71168291567467e-05,"11176/139886/23038/23133/23270/23378/23476/23774/25862/25988/26013/27154/30827/4302/51147/5253/54496/55135/55689/55705/57332/58508/5977/6322/64061/6597/65980/6601/6830/6872/6944/7290/8085/83746/84289/84656/8888/90780/9425/9682/9733",41,"GO"
"GO:0140030...1348","MEbrown","GO:0140030","modification-dependent protein binding","29/1301","160/18368",2.46774271705028e-06,0.000221000069993614,0.000193667293934589,"10594/11176/116988/139886/143630/23133/23378/23476/254225/26013/29978/30827/51147/5253/55072/55689/56957/57332/5977/6597/65980/6872/7917/83746/84126/84289/84656/9425/9682",29,"GO"
"GO:0008168...1349","MEbrown","GO:0008168","methyltransferase activity","35/1301","214/18368",2.82030317552397e-06,0.000227316435947232,0.000199202466397535,"10919/11108/114826/117246/152992/1788/23067/23070/23378/27037/275/29104/30827/51409/51603/54093/54496/55039/55209/56257/56339/56980/58508/63935/63977/6894/79091/79813/79918/79979/8085/84444/9739/9757/9869",35,"GO"
"GO:0001046","MEbrown","GO:0001046","core promoter sequence-specific DNA binding","13/1301","42/18368",3.89846445313807e-06,0.000285651122657208,0.000250322454359392,"11176/26523/27086/27161/5451/6597/6598/6872/6874/6908/7343/7709/9013",13,"GO"
"GO:0004386...1351","MEbrown","GO:0004386","helicase activity","28/1301","156/18368",4.45130549295692e-06,0.00029897935227694,0.000262002279453868,"10521/1108/11269/2071/22907/23020/23132/317781/3508/50485/51750/54606/55308/55661/56897/56919/57634/57647/5976/60625/6499/6597/84181/8449/9400/9416/9704/9785",28,"GO"
"GO:0018024","MEbrown","GO:0018024","histone-lysine N-methyltransferase activity","13/1301","43/18368",5.22742264263538e-06,0.000304109486459471,0.000266497930539774,"10919/23067/29104/30827/54093/55209/58508/79813/8085/84444/9739/9757/9869",13,"GO"
"GO:0003724...1353","MEbrown","GO:0003724","RNA helicase activity","18/1301","77/18368",5.28229877224887e-06,0.000304109486459471,0.000266497930539774,"10521/11269/22907/23020/317781/3508/54606/55308/55661/56919/57647/5976/60625/6499/8449/9416/9704/9785",18,"GO"
"GO:0008186...1354","MEbrown","GO:0008186","ATP-dependent activity, acting on RNA","18/1301","79/18368",7.76668846779231e-06,0.00041733006033604,0.000365715646448326,"10521/11269/22907/23020/317781/3508/54606/55308/55661/56919/57647/5976/60625/6499/8449/9416/9704/9785",18,"GO"
"GO:0016741...1355","MEbrown","GO:0016741","transferase activity, transferring one-carbon groups","35/1301","225/18368",8.87701568239025e-06,0.000447179665000409,0.000391873521242359,"10919/11108/114826/117246/152992/1788/23067/23070/23378/27037/275/29104/30827/51409/51603/54093/54496/55039/55209/56257/56339/56980/58508/63935/63977/6894/79091/79813/79918/79979/8085/84444/9739/9757/9869",35,"GO"
"GO:0016279","MEbrown","GO:0016279","protein-lysine N-methyltransferase activity","15/1301","59/18368",1.07265996631423e-05,0.000508567019323102,0.00044566862996709,"10919/23067/29104/30827/54093/55209/58508/79091/79813/79918/8085/84444/9739/9757/9869",15,"GO"
"GO:0016278","MEbrown","GO:0016278","lysine N-methyltransferase activity","15/1301","60/18368",1.33740257201353e-05,0.000598859151690502,0.000524793640831039,"10919/23067/29104/30827/54093/55209/58508/79091/79813/79918/8085/84444/9739/9757/9869",15,"GO"
"GO:0106310...1358","MEbrown","GO:0106310","protein serine kinase activity","48/1301","360/18368",1.68828644544291e-05,0.00071618888159315,0.000627612301879331,"1025/10420/10494/10645/1198/1432/1453/1455/1612/1613/1760/207/208/22848/23049/23387/2475/25778/25989/27148/284086/3551/4140/4215/4294/50488/51755/54986/5581/5609/5681/57118/57787/5871/613/6794/6872/7204/728642/7786/818/84033/8550/8558/8569/8859/9149/9344",48,"GO"
"GO:0019787...1359","MEbrown","GO:0019787","ubiquitin-like protein transferase activity","57/1301","458/18368",2.26059976518513e-05,0.000911021705369607,0.00079834865391538,"10075/10193/10425/10612/11060/142678/144699/147339/149041/1643/168433/196403/22888/22954/23352/23609/23759/253980/26145/26259/26267/27252/283450/378925/51239/51564/51588/51665/54476/54880/55072/55128/55182/55223/56658/57154/5987/6015/63891/63893/64320/6872/7706/7737/79654/80263/81844/84461/8924/89910/90678/90933/9442/9759/9810/9862/9968",57,"GO"
"GO:0042054","MEbrown","GO:0042054","histone methyltransferase activity","14/1301","56/18368",2.58019951028269e-05,0.000990305145375166,0.00086782650195473,"10919/23067/29104/30827/54093/54496/55209/58508/79813/8085/84444/9739/9757/9869",14,"GO"
"GO:0060090...1361","MEbrown","GO:0060090","molecular adaptor activity","48/1301","369/18368",3.21789468091744e-05,0.00117891959673612,0.00103311355545244,"10714/10817/112755/114609/116138/124245/1302/143187/1523/161/1856/203062/23053/23098/23162/23299/23353/25970/3054/339451/4221/5116/51593/54487/54815/55070/55527/55841/55909/57506/57521/5913/636/64210/6449/64768/6602/6810/6811/79844/825/8312/8677/8906/9425/9570/9846/9894",48,"GO"
"GO:0004842...1362","MEbrown","GO:0004842","ubiquitin-protein transferase activity","54/1301","433/18368",3.47993934095172e-05,0.00121949178643786,0.00106866787083689,"10075/10193/10425/10612/11060/142678/144699/147339/149041/1643/168433/196403/22888/22954/23352/23609/23759/253980/26145/26259/26267/27252/283450/378925/51239/51665/54476/54880/55072/55128/55182/55223/56658/57154/5987/6015/63891/63893/64320/6872/7706/7737/79654/80263/81844/84461/8924/89910/90678/90933/9442/9810/9862/9968",54,"GO"
"GO:0008276","MEbrown","GO:0008276","protein methyltransferase activity","18/1301","88/18368",3.71247158055123e-05,0.00124677170580179,0.00109257387304819,"10919/1788/23067/29104/30827/51409/54093/54496/55209/58508/79091/79813/79918/8085/84444/9739/9757/9869",18,"GO"
"GO:0005096...1364","MEbrown","GO:0005096","GTPase activator activity","56/1301","462/18368",5.57359515787428e-05,0.00179692707889867,0.00157468730565627,"10564/10641/116983/116987/116988/119016/134957/140775/146923/201163/23092/23094/23108/23258/23370/23380/26000/2664/27342/27352/28964/4943/51195/5364/54662/55114/55633/57706/5863/6002/613/6305/7204/7249/7410/79874/80005/80728/80851/84033/84079/84315/84364/8498/8567/8786/8831/8890/8893/8924/9266/9605/9681/9826/9855/9905",56,"GO"
"GO:0030674...1365","MEbrown","GO:0030674","protein-macromolecule adaptor activity","40/1301","296/18368",6.13742481021675e-05,0.00190260169116719,0.00166729232698601,"10714/10817/112755/114609/116138/124245/1302/143187/1523/161/1856/203062/23053/23098/23162/23299/23353/25970/3054/4221/51593/54487/54815/55070/55527/55909/57506/57521/5913/636/64210/6810/6811/79844/8312/8677/8906/9425/9570/9846",40,"GO"
"GO:0140097...1366","MEbrown","GO:0140097","catalytic activity, acting on DNA","33/1301","229/18368",7.58785441663082e-05,0.00226511505918683,0.00198497088247925,"10714/1108/11232/1677/1773/1775/1788/2071/23132/27343/27434/29104/3508/3978/399687/4595/4968/50485/51750/5426/5429/56897/57634/5883/6597/7156/7515/79661/80198/84181/84464/8940/9400",33,"GO"
"GO:0035198","MEbrown","GO:0035198","miRNA binding","10/1301","34/18368",8.35318939420664e-05,0.00240452523276091,0.0021071391291401,"149041/192669/23264/23567/26523/27161/5936/8241/84872/9698",10,"GO"
"GO:0042800","MEbrown","GO:0042800","histone methyltransferase activity (H3-K4 specific)","7/1301","17/18368",9.09392805804464e-05,0.00252748483268413,0.002214891370943,"23067/30827/54093/58508/8085/9739/9757",7,"GO"
"GO:0008757...1369","MEbrown","GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","25/1301","156/18368",0.000100023930371964,0.00268730959599342,0.00235494937823114,"10919/117246/1788/23067/23070/23378/29104/30827/54093/54496/55209/56257/56339/58508/63935/6894/79091/79813/79918/79979/8085/84444/9739/9757/9869",25,"GO"
"GO:0061630...1370","MEbrown","GO:0061630","ubiquitin protein ligase activity","40/1301","304/18368",0.000110745840834867,0.00287939186170655,0.00252327535484536,"10075/10193/10425/10612/11060/142678/147339/149041/168433/196403/22888/22954/23352/23609/23759/26145/378925/51665/54476/55072/55128/55182/55223/56658/57154/5987/6015/63893/64320/7706/7737/81844/84461/8924/89910/90678/90933/9442/9862/9968",40,"GO"
"GO:0061659...1371","MEbrown","GO:0061659","ubiquitin-like protein ligase activity","41/1301","316/18368",0.000124779030380149,0.0031428718277,0.00275416872977236,"10075/10193/10425/10612/11060/142678/147339/149041/168433/196403/22888/22954/23352/23609/23759/26145/378925/51588/51665/54476/55072/55128/55182/55223/56658/57154/5987/6015/63893/64320/7706/7737/81844/84461/8924/89910/90678/90933/9442/9862/9968",41,"GO"
"GO:0035064...1372","MEbrown","GO:0035064","methylated histone binding","15/1301","73/18368",0.000153185885705425,0.00363140658466391,0.00318228264112509,"139886/23133/23378/26013/30827/51147/5253/57332/5977/6872/83746/84289/84656/9425/9682",15,"GO"
"GO:0140034...1373","MEbrown","GO:0140034","methylation-dependent protein binding","15/1301","73/18368",0.000153185885705425,0.00363140658466391,0.00318228264112509,"139886/23133/23378/26013/30827/51147/5253/57332/5977/6872/83746/84289/84656/9425/9682",15,"GO"
"GO:0140297...1374","MEbrown","GO:0140297","DNA-binding transcription factor binding","48/1301","394/18368",0.00016364576515564,0.00376852819186989,0.00330244536599803,"10025/10915/11060/1108/11176/1387/140290/1432/1487/1613/166793/171023/2033/22954/23081/24148/27086/3054/4294/51341/51564/5467/55128/55929/56919/5814/5916/64210/64320/6597/6598/6667/6872/6874/6908/7290/7392/7709/79447/79918/80279/84458/9112/9611/9612/9759/9862/9968",48,"GO"
"GO:0004674...1375","MEbrown","GO:0004674","protein serine/threonine kinase activity","47/1301","386/18368",0.000192959810278529,0.00432015575234707,0.00378584890926588,"1025/10420/10645/1198/1432/1453/1455/1612/1613/1760/203054/207/208/22848/23049/23387/23476/2475/25989/27148/284086/3551/4140/4215/4294/50488/51231/51755/5581/57118/57143/57787/5871/613/6794/6872/7204/728642/7786/818/8550/8558/8569/8859/9149/93/9344",47,"GO"
"GO:0030695...1376","MEbrown","GO:0030695","GTPase regulator activity","56/1301","488/18368",0.000238744536915016,0.00506389728298691,0.00443760621246469,"10564/10641/116983/116987/116988/119016/134957/140775/146923/201163/23092/23094/23108/23258/23370/23380/26000/2664/27342/27352/28964/4943/51195/5364/54662/55114/55633/57706/5863/6002/613/6305/7204/7249/7410/79874/80005/80728/80851/84033/84079/84315/84364/8498/8567/8786/8831/8890/8893/8924/9266/9605/9681/9826/9855/9905",56,"GO"
"GO:0060589...1377","MEbrown","GO:0060589","nucleoside-triphosphatase regulator activity","56/1301","488/18368",0.000238744536915016,0.00506389728298691,0.00443760621246469,"10564/10641/116983/116987/116988/119016/134957/140775/146923/201163/23092/23094/23108/23258/23370/23380/26000/2664/27342/27352/28964/4943/51195/5364/54662/55114/55633/57706/5863/6002/613/6305/7204/7249/7410/79874/80005/80728/80851/84033/84079/84315/84364/8498/8567/8786/8831/8890/8893/8924/9266/9605/9681/9826/9855/9905",56,"GO"
"GO:0000149...1378","MEbrown","GO:0000149","SNARE binding","19/1301","110/18368",0.00024691273183615,0.00510286312461377,0.00447175284917832,"10497/11132/112476/112755/134957/143187/152579/1612/203062/25/2801/6293/6810/6811/79654/84079/8677/9570/9810",19,"GO"
"GO:0061980","MEbrown","GO:0061980","regulatory RNA binding","11/1301","46/18368",0.000286380942597482,0.00577057599333926,0.00505688453902396,"149041/192669/23264/23567/26523/27161/4204/5936/8241/84872/9698",11,"GO"
"GO:0031267...1380","MEbrown","GO:0031267","small GTPase binding","34/1301","259/18368",0.000366143109892312,0.00719783772129764,0.00630762584692532,"10193/10497/123720/149371/1613/1855/1856/1857/23085/23163/23258/23299/23380/23647/253980/26088/2664/27342/27352/30000/51479/54662/55705/57706/5875/60412/636/7249/79571/8216/84079/85369/8859/9905",34,"GO"
"GO:0031491","MEbrown","GO:0031491","nucleosome binding","14/1301","71/18368",0.000394338951739681,0.00756755226433769,0.00663161495281519,"10473/1108/23523/254225/26013/4302/57459/57492/6597/6598/6601/6830/7290/84656",14,"GO"
"GO:0008170...1382","MEbrown","GO:0008170","N-methyltransferase activity","17/1301","97/18368",0.000430735539453778,0.00807378708836616,0.00707523982799229,"10919/23067/29104/30827/51409/54093/54496/55209/58508/79091/79813/79918/8085/84444/9739/9757/9869",17,"GO"
"GO:0061733...1383","MEbrown","GO:0061733","peptide-lysine-N-acetyltransferase activity","10/1301","41/18368",0.000453222823911695,0.00830221809256423,0.00727541901542458,"1387/2033/23326/2648/6872/79829/79969/8888/9862/9913",10,"GO"
"GO:0061629...1384","MEbrown","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","37/1301","299/18368",0.000653851297289405,0.0117112032358947,0.0102627887831857,"10025/10915/11060/1108/11176/1387/1432/171023/2033/22954/23081/24148/27086/51341/5467/55128/55929/5916/64210/64320/6597/6598/6667/6872/6874/6908/7290/79447/79918/80279/84458/9112/9611/9612/9759/9862/9968",37,"GO"
"GO:0004402...1385","MEbrown","GO:0004402","histone acetyltransferase activity","9/1301","39/18368",0.00132863272493956,0.022681659470112,0.0198764444357387,"1387/2033/23326/2648/6872/79829/8888/9862/9913",9,"GO"
"GO:0001222","MEbrown","GO:0001222","transcription corepressor binding","8/1301","32/18368",0.00140610752991307,0.022681659470112,0.0198764444357387,"10919/1487/51341/57649/58525/79813/8237/84458",8,"GO"
"GO:0001223","MEbrown","GO:0001223","transcription coactivator binding","8/1301","32/18368",0.00140610752991307,0.022681659470112,0.0198764444357387,"1025/11016/1387/166793/2033/5467/7709/9686",8,"GO"
"GO:0032454","MEbrown","GO:0032454","histone H3-methyl-lysine-9 demethylase activity","5/1301","13/18368",0.00140705083561489,0.022681659470112,0.0198764444357387,"23081/23133/51780/5253/9682",5,"GO"
"GO:0051011","MEbrown","GO:0051011","microtubule minus-end binding","5/1301","13/18368",0.00140705083561489,0.022681659470112,0.0198764444357387,"10844/114791/157922/4926/85378",5,"GO"
"GO:0051020...1390","MEbrown","GO:0051020","GTPase binding","35/1301","291/18368",0.00148701644387415,0.0235006912502463,0.0205941802650063,"10193/10497/123720/149371/1613/1855/1856/1857/23085/23163/23258/23299/23380/23647/253980/26088/2664/27342/27352/30000/51479/54662/55626/55705/57706/5875/60412/636/7249/79571/8216/84079/85369/8859/9905",35,"GO"
"GO:0034212...1391","MEbrown","GO:0034212","peptide N-acetyltransferase activity","10/1301","49/18368",0.00198151635587865,0.030713503516119,0.0269149286395662,"1387/2033/23326/2648/6872/79829/79969/8888/9862/9913",10,"GO"
"GO:0070577...1392","MEbrown","GO:0070577","lysine-acetylated histone binding","6/1301","21/18368",0.00268497952777034,0.0393326099137598,0.0344680439495009,"11176/23476/5977/6597/65980/6872",6,"GO"
"GO:0140033...1393","MEbrown","GO:0140033","acetylation-dependent protein binding","6/1301","21/18368",0.00268497952777034,0.0393326099137598,0.0344680439495009,"11176/23476/5977/6597/65980/6872",6,"GO"
"GO:0008080...1394","MEbrown","GO:0008080","N-acetyltransferase activity","12/1301","68/18368",0.00272062976030967,0.0393326099137598,0.0344680439495009,"1387/2033/23326/26151/2648/55226/6872/79829/79969/8888/9862/9913",12,"GO"
"GO:0008187","MEbrown","GO:0008187","poly-pyrimidine tract binding","7/1301","28/18368",0.00278158655717656,0.0393326099137598,0.0344680439495009,"10445/11338/129563/219988/5725/6310/80336",7,"GO"
"GO:0050681","MEbrown","GO:0050681","androgen receptor binding","7/1301","28/18368",0.00278158655717656,0.0393326099137598,0.0344680439495009,"2033/23081/24148/27086/51341/55128/6597",7,"GO"
"GO:0070742","MEbrown","GO:0070742","C2H2 zinc finger domain binding","5/1301","15/18368",0.00291393114832539,0.0404935949232804,0.0354854410258863,"10919/11338/23524/79364/79813",5,"GO"
"GO:0016887...1398","MEbrown","GO:0016887","ATP hydrolysis activity","32/1301","272/18368",0.00326957575281756,0.0446657297757788,0.0391415759168703,"10521/10749/1108/11269/126074/2071/22880/22907/22985/23020/23132/23456/317781/3305/3508/374868/4621/51750/54606/55308/55661/56897/56919/57647/60625/84181/8449/90990/9400/9416/9704/9785",32,"GO"
"GO:0032452","MEbrown","GO:0032452","histone demethylase activity","7/1301","29/18368",0.00344586282162098,0.0455305808889592,0.0398994642503482,"23081/23133/3720/51780/5253/8242/9682",7,"GO"
"GO:0140457","MEbrown","GO:0140457","protein demethylase activity","7/1301","29/18368",0.00344586282162098,0.0455305808889592,0.0398994642503482,"23081/23133/3720/51780/5253/8242/9682",7,"GO"
"GO:0017069","MEbrown","GO:0017069","snRNA binding","10/1301","53/18368",0.00363569381716768,0.0466919291638742,0.0409171796643066,"1025/10594/11066/114034/26121/56257/64852/6625/6626/9733",10,"GO"
"GO:0042826...1402","MEbrown","GO:0042826","histone deacetylase binding","18/1301","127/18368",0.00364961729196535,0.0466919291638742,0.0409171796643066,"1108/138151/23038/23125/23381/2648/26993/51043/54880/5883/6667/7181/83933/84458/9112/9611/9612/9759",18,"GO"
"GO:0046974","MEbrown","GO:0046974","histone methyltransferase activity (H3-K9 specific)","4/1301","10/18368",0.00372080478295493,0.0468588852353387,0.041063486996098,"10919/55209/79813/9869",4,"GO"
"GO:0140223...1404","MEbrown","GO:0140223","general transcription initiation factor activity","9/1301","45/18368",0.00378960824569763,0.0469911422466506,0.0411793867670139,"10629/2968/2972/6621/6872/6874/6908/7343/9013",9,"GO"
"R-HSA-69278...1405","MEyellow","R-HSA-69278","Cell Cycle, Mitotic","172/925","465/9834",8.4822957585102e-63,1.06707280642058e-59,7.66085237979132e-60,"10051/10112/10121/1017/1019/10197/1021/10213/10376/10381/10383/10403/10540/1058/1062/1063/10733/10926/11004/1104/11065/11130/113130/1163/128866/147841/157570/1763/1870/1871/203068/220134/2237/22919/22974/23165/23310/23397/23594/23649/2491/26003/26271/27338/3161/332/3320/347733/3619/3837/4001/401541/4085/4172/4173/4175/4176/4605/4751/51053/5111/51400/51512/51529/51659/5347/5424/5427/54821/54892/54908/55055/55143/55388/5557/55706/5578/55839/55920/5682/5683/5685/5686/5688/5690/5691/5692/5694/5701/5702/5704/5705/5707/5708/5709/5710/5713/5714/5716/5717/5719/57405/5901/5905/5933/5982/5983/5984/5985/6119/6396/64105/64151/64785/64946/6502/6790/699/701/7083/7112/7153/7280/7283/7298/7329/7443/7532/79019/79023/79172/79682/79866/79980/81620/81930/8317/8318/83540/84296/84515/84617/84790/8655/8815/890/8900/891/898/9088/9133/9134/91687/9184/9212/9232/93323/9493/95681/9631/9688/9700/9735/9793/983/9837/990/991/9918/993/994/995",172,"Reactome"
"R-HSA-69620...1406","MEyellow","R-HSA-69620","Cell Cycle Checkpoints","113/925","238/9834",4.8228562865195e-54,3.03357660422077e-51,2.17790036517565e-51,"1017/10197/10213/10403/1058/1062/1063/10926/10971/11004/11065/11073/1111/11130/11200/116028/147841/1763/220134/22919/23594/2491/27338/332/3619/401541/4085/4172/4173/4175/4176/51512/51529/5347/54821/54908/55055/55143/55388/55839/55920/5682/5683/5685/5686/5688/5690/5691/5692/5694/5701/5702/5704/5705/5707/5708/5709/5710/5713/5714/5716/5717/5719/57405/580/5905/5982/5983/5984/5985/6119/6396/63967/641/64105/64946/672/699/701/7529/7532/7534/79019/79023/79172/79682/79980/81930/8317/8318/83540/83695/83990/84515/8655/890/8900/891/898/9088/9133/9134/9156/91687/9184/9212/9735/9793/983/990/991/993/995",113,"Reactome"
"R-HSA-2555396...1407","MEyellow","R-HSA-2555396","Mitotic Metaphase and Anaphase","96/925","220/9834",7.03978812967155e-42,2.9520178223756e-39,2.11934674219586e-39,"10197/10213/10376/10381/10383/10403/1058/1062/1063/11004/1104/11065/11130/113130/128866/147841/220134/22919/23165/2491/26271/27338/332/347733/3619/3837/4001/401541/4085/51529/5347/54821/54908/55055/55143/55706/55839/55920/5682/5683/5685/5686/5688/5690/5691/5692/5694/5701/5702/5704/5705/5707/5708/5709/5710/5713/5714/5716/5717/5719/57405/5901/5905/6396/64105/64946/699/701/7112/7280/7329/7443/79019/79023/79172/79682/79980/81930/83540/84617/84790/8655/8815/891/9133/91687/9184/9212/9232/9631/9688/9700/9735/9793/983/991",96,"Reactome"
"R-HSA-68882...1408","MEyellow","R-HSA-68882","Mitotic Anaphase","95/925","219/9834",3.56424848203685e-41,1.12095614760059e-38,8.04769788838847e-39,"10197/10213/10376/10381/10383/10403/1058/1062/1063/11004/1104/11065/11130/113130/128866/147841/220134/22919/23165/2491/27338/332/347733/3619/3837/4001/401541/4085/51529/5347/54821/54908/55055/55143/55706/55839/55920/5682/5683/5685/5686/5688/5690/5691/5692/5694/5701/5702/5704/5705/5707/5708/5709/5710/5713/5714/5716/5717/5719/57405/5901/5905/6396/64105/64946/699/701/7112/7280/7329/7443/79019/79023/79172/79682/79980/81930/83540/84617/84790/8655/8815/891/9133/91687/9184/9212/9232/9631/9688/9700/9735/9793/983/991",95,"Reactome"
"R-HSA-68886...1409","MEyellow","R-HSA-68886","M Phase","116/925","332/9834",5.4123628096901e-39,1.36175048291803e-36,9.77643640150337e-37,"10051/10112/10121/10197/10213/10376/10381/10383/10403/10540/1058/1062/1063/10733/11004/1104/11065/11130/113130/128866/147841/203068/220134/22919/23165/23310/23397/2491/26003/26271/27338/332/3320/347733/3619/3837/4001/401541/4085/4751/51529/5347/54821/54892/54908/55055/55143/55706/5578/55839/55920/5682/5683/5685/5686/5688/5690/5691/5692/5694/5701/5702/5704/5705/5707/5708/5709/5710/5713/5714/5716/5717/5719/57405/5901/5905/6396/64105/64151/64946/699/701/7112/7280/7283/7329/7443/7532/79019/79023/79172/79682/79980/81930/83540/84617/84790/8655/8815/891/9133/91687/9184/9212/9232/93323/9493/95681/9631/9688/9700/9735/9793/983/991/9918",116,"Reactome"
"R-HSA-2467813...1410","MEyellow","R-HSA-2467813","Separation of Sister Chromatids","79/925","178/9834",3.57687904152233e-35,7.49952305705848e-33,5.3841442414494e-33,"10197/10213/10376/10381/10383/10403/1058/1062/1063/11004/11065/11130/113130/147841/220134/22919/2491/27338/332/347733/3619/401541/4085/51529/5347/54821/54908/55055/55143/55839/55920/5682/5683/5685/5686/5688/5690/5691/5692/5694/5701/5702/5704/5705/5707/5708/5709/5710/5713/5714/5716/5717/5719/57405/5905/6396/64105/64946/699/701/7280/79019/79023/79172/79682/79980/81930/83540/84617/84790/8655/91687/9184/9212/9232/9700/9735/9793/991",79,"Reactome"
"R-HSA-69306","MEyellow","R-HSA-69306","DNA Replication","64/925","119/9834",6.0935520370595e-35,1.09509835180298e-32,7.86205661322864e-33,"1017/10197/10213/10926/11065/1763/1870/1871/2237/23594/23649/27338/4172/4173/4175/4176/51053/5111/51529/51659/5424/5427/55388/5557/5682/5683/5685/5686/5688/5690/5691/5692/5694/5701/5702/5704/5705/5707/5708/5709/5710/5713/5714/5716/5717/5719/5982/5983/5984/5985/6119/64785/6502/81620/8317/8318/84296/84515/890/8900/898/9134/9837/990",64,"Reactome"
"R-HSA-69481","MEyellow","R-HSA-69481","G2/M Checkpoints","64/925","122/9834",4.43521878644463e-34,6.97438154168417e-32,5.00712857732828e-32,"1017/10197/10213/10926/10971/11073/1111/11200/116028/1763/23594/4172/4173/4175/4176/51512/55388/5682/5683/5685/5686/5688/5690/5691/5692/5694/5701/5702/5704/5705/5707/5708/5709/5710/5713/5714/5716/5717/5719/580/5982/5983/5984/5985/6119/63967/641/672/7529/7532/7534/8317/8318/83695/83990/84515/891/9088/9133/9156/983/990/993/995",64,"Reactome"
"R-HSA-69239","MEyellow","R-HSA-69239","Synthesis of DNA","58/925","112/9834",1.43137244126932e-30,2.00074059012979e-28,1.43639480071237e-28,"1017/10197/10213/11065/1763/2237/23594/23649/27338/4172/4173/4175/4176/5111/51529/51659/5424/5427/5557/5682/5683/5685/5686/5688/5690/5691/5692/5694/5701/5702/5704/5705/5707/5708/5709/5710/5713/5714/5716/5717/5719/5982/5983/5984/5985/6119/64785/6502/81620/8318/84296/84515/890/8900/898/9134/9837/990",58,"Reactome"
"R-HSA-453279","MEyellow","R-HSA-453279","Mitotic G1 phase and G1/S transition","62/925","140/9834",1.0349439859004e-27,1.30195953426271e-25,9.34717831476364e-26,"1017/1019/10197/1021/10213/10926/1163/1870/1871/23594/23649/26271/4172/4173/4175/4176/4605/51053/5111/5427/55388/5557/5682/5683/5685/5686/5688/5690/5691/5692/5694/5701/5702/5704/5705/5707/5708/5709/5710/5713/5714/5716/5717/5719/5933/6119/6502/7083/7153/7298/81620/8317/8318/84515/890/8900/891/898/9134/983/990/993",62,"Reactome"
"R-HSA-69242...1415","MEyellow","R-HSA-69242","S Phase","64/925","150/9834",1.93242906536328e-27,2.20999614929728e-25,1.58662596945617e-25,"1017/1019/10197/10213/11065/113130/1163/157570/1763/2237/23594/23649/27338/4172/4173/4175/4176/5111/51529/51659/5424/5427/5557/5682/5683/5685/5686/5688/5690/5691/5692/5694/5701/5702/5704/5705/5707/5708/5709/5710/5713/5714/5716/5717/5719/5982/5983/5984/5985/6119/64785/6502/81620/8318/84296/84515/890/8900/898/9134/9837/990/993/994",64,"Reactome"
"R-HSA-69206","MEyellow","R-HSA-69206","G1/S Transition","57/925","122/9834",4.75687754050428e-27,4.98679328829532e-25,3.58017625416901e-25,"1017/1019/10197/10213/10926/1163/23594/23649/26271/4172/4173/4175/4176/51053/5111/5427/55388/5557/5682/5683/5685/5686/5688/5690/5691/5692/5694/5701/5702/5704/5705/5707/5708/5709/5710/5713/5714/5716/5717/5719/5933/6119/6502/7083/7298/81620/8317/8318/84515/890/8900/891/898/9134/983/990/993",57,"Reactome"
"R-HSA-69002","MEyellow","R-HSA-69002","DNA Replication Pre-Initiation","44/925","78/9834",1.65471881365322e-25,1.60125866736597e-23,1.14959412316961e-23,"1017/10197/10213/10926/1870/1871/23594/23649/4172/4173/4175/4176/51053/5427/55388/5557/5682/5683/5685/5686/5688/5690/5691/5692/5694/5701/5702/5704/5705/5707/5708/5709/5710/5713/5714/5716/5717/5719/6119/81620/8317/8318/84515/990",44,"Reactome"
"R-HSA-2500257...1418","MEyellow","R-HSA-2500257","Resolution of Sister Chromatid Cohesion","53/925","116/9834",1.21334496544406e-24,1.09027711894902e-22,7.82744346128573e-23,"10376/10381/10383/10403/1058/1062/1063/11004/11130/113130/147841/220134/22919/2491/332/347733/3619/401541/4085/5347/54821/54908/55055/55143/55839/55920/57405/5905/6396/64105/64946/699/701/7280/79019/79023/79172/79682/79980/81930/83540/84617/84790/8655/891/9133/91687/9184/9212/9735/9793/983/991",53,"Reactome"
"R-HSA-5663220","MEyellow","R-HSA-5663220","RHO GTPases Activate Formins","56/925","131/9834",3.45892566983697e-24,2.90088566176993e-22,2.08263735068078e-22,"10376/10381/10383/10403/1058/1062/1063/11004/11130/147841/220134/22919/2491/332/347733/3619/389/401541/4085/5216/5217/5347/54821/54908/55055/55143/55839/55920/57405/5879/5905/60/6396/64105/64946/699/701/71/7280/79019/79023/79172/79682/79980/81624/81930/83540/84617/84790/8655/91687/9184/9212/9735/9793/991",56,"Reactome"
"R-HSA-68877...1420","MEyellow","R-HSA-68877","Mitotic Prometaphase","67/925","189/9834",3.8260457572015e-23,3.00822847659968e-21,2.15970214452559e-21,"10051/10121/10376/10381/10383/10403/10540/1058/1062/1063/10733/11004/11130/113130/147841/203068/220134/22919/23397/2491/332/3320/347733/3619/401541/4085/4751/5347/54821/54908/55055/55143/55839/55920/57405/5905/6396/64105/64151/64946/699/701/7280/7283/7532/79019/79023/79172/79682/79980/81930/83540/84617/84790/8655/891/9133/91687/9184/9212/93323/95681/9735/9793/983/991/9918",67,"Reactome"
